,ExpressName,ExpressAllName,ExpressSimpleName
0,大金物流,大金物流dajin,dajin
1,宝通达物流,宝通达物流baotongda,baotongda
2,恒诚物流,恒诚物流HENGCHENGWL,HENGCHENGWL
3,利民物流,利民物流LIMINWL,LIMINWL
4,恒丰物流,恒丰物流HENGFENGWL,HENGFENGWL
5,英国DPD,英国DPDdpd,dpd
6,彪记快递,彪记快递PEWKEE,PEWKEE
7,中天快运,中天快运zhongtian,zhongtian
8,鑫天顺物流,鑫天顺物流XINTIAN,XINTIAN
9,飞鹰物流,飞鹰物流hnfy,hnfy
10,风行天下,风行天下fengxingtianxia,fengxingtianxia
11,澳大利亚邮政(英文),澳大利亚邮政(英文)auspost,auspost
12,恒路物流,恒路物流henglu,henglu
13,GSM,GSMgsm,gsm
14,加拿大邮政(法语),加拿大邮政(法语)canpostfr,canpostfr
15,ACS国际快递,ACS国际快递acs,acs
16,EMS(英文),EMS(英文)emsen,emsen
17,美西快递,美西快递meixi,meixi
18,新蛋物流,新蛋物流xindan,xindan
19,中国邮政包裹、平邮、挂号信,中国邮政包裹、平邮、挂号信bgpyghx,bgpyghx
20,宋军物流,宋军物流SJWL,SJWL
21,顺发物流,顺发物流SHUNFAWL,SHUNFAWL
22,邮联物流,邮联物流YBWL,YBWL
23,天河物流,天河物流TIANHEWL,TIANHEWL
24,黑猫宅急便,黑猫宅急便hmzjb,hmzjb
25,盛旺货运,盛旺货运SWHY,SWHY
26,汤氏物流,汤氏物流TSWL,TSWL
27,鑫飞鸿物流快递,鑫飞鸿物流快递XFHONG,XFHONG
28,圆圆物流,圆圆物流YUANYUANWL,YUANYUANWL
29,立通快递,立通快递litong,litong
30,佳宇物流,佳宇物流JIAYU,JIAYU
31,昊昕物流,昊昕物流SHHX,SHHX
32,安得物流,安得物流ande,ande
33,贝邮宝,贝邮宝ppbyb,ppbyb
34,递达快递,递达快递dida,dida
35,振刚物流,振刚物流ZGWL,ZGWL
36,日本邮政,日本邮政jppost,jppost
37,康力物流,康力物流klwl,klwl
38,UEX,UEXuex,uex
39,祥龙运通,祥龙运通xlyt,xlyt
40,CCES快递,CCES快递cces,cces
41,中国邮政国际包裹,中国邮政国际包裹intmail,intmail
42,广东ems快递,广东ems快递gdems,gdems
43,百腾物流,百腾物流baitengwuliu,baitengwuliu
44,飞力士物流,飞力士物流flysman,flysman
45,丰程物流,丰程物流sccod,sccod
46,高铁速递,高铁速递gtsd,gtsd
47,户通物流,户通物流hutongwuliu,hutongwuliu
48,迦递(GATI)快递,迦递(GATI)快递gaticn,gaticn
49,GTS快递,GTS快递gts,gts
50,伙伴物流,伙伴物流huoban,huoban
51,红马速递,红马速递nedahm,nedahm
52,汇文配送,汇文配送huiwen,huiwen
53,华赫物流,华赫物流nmhuahe,nmhuahe
54,航宇快递,航宇快递hangyu,hangyu
55,骏川物流,骏川物流JUNCHUANWL,JUNCHUANWL
56,猴急送,猴急送hjs,hjs
57,环球速运,环球速运huanqiu,huanqiu
58,辉联物流,辉联物流huilian,huilian
59,华达快运,华达快运huada,huada
60,海派通,海派通hipito,hipito
61,华通务达物流,华通务达物流htwd,htwd
62,韩润物流,韩润物流hanrun,hanrun
63,民航(航空快递),民航(航空快递)airgtc,airgtc
64,环球通达,环球通达hqtd,hqtd
65,河南次晨达,河南次晨达ccd,ccd
66,和丰同城,和丰同城hfwuxi,hfwuxi
67,荷兰 Sky Post,荷兰 Sky Postskypost,skypost
68,鸿讯物流,鸿讯物流hongxun,hongxun
69,宏捷国际物流,宏捷国际物流hongjie,hongjie
70,吉日优派,吉日优派jrypex,jrypex
71,恒通快递,恒通快递lqht,lqht
72,汇通天下物流,汇通天下物流httx56,httx56
73,急顺通,急顺通pzhjst,pzhjst
74,景光物流,景光物流jgwl,jgwl
75,金马甲,金马甲jmjss,jmjss
76,捷网俄全通,捷网俄全通ruexp,ruexp
77,快优达速递,快优达速递kuaiyouda,kuaiyouda
78,乐天速递,乐天速递ltexp,ltexp
79,乐递供应链,乐递供应链ledii,ledii
80,鲁通快运,鲁通快运lutong,lutong
81,木春货运,木春货运mchy,mchy
82,论道国际物流,论道国际物流lundao,lundao
83,布谷鸟快递,布谷鸟快递bgn,bgn
84,佳惠尔快递,佳惠尔快递jiahuier,jiahuier
85,广通速递,广通速递guangtong,guangtong
86,美龙快递,美龙快递meilong,meilong
87,星晨急便,星晨急便STARS,STARS
88,中国南方航空股份有限公司,中国南方航空股份有限公司NANHANG,NANHANG
89,蓝镖快递,蓝镖快递lanbiao,lanbiao
90,誉美捷快递,誉美捷快递yumeijie,yumeijie
91,方方达物流,方方达物流fangfangda,fangfangda
92,大顺物流,大顺物流dashun,dashun
93,河北建华物流,河北建华物流hebeijianhua,hebeijianhua
