,name,info
0,ZRM,11
1,ZRM,～1
2,ZRM,~导出聊天记录
3,ZRM,～～
4,我是个无情的机器人,别问啦，我还需要学习呢
5,ZRM,~导出聊天记录
6,我是个无情的机器人,别问啦，我还需要学习呢
7,Punchoo,～
8,我是个无情的机器人,别问啦，我还需要学习呢
9,萌萌,~
10,我是个无情的机器人,别问啦，我还需要学习呢
11,ZRM,@冯雷昊 @张文萱 @张润民 @吴宗翰 请各位组长辛苦一下，收集一下新员工电子照片，要白底的，请于明天下班前发给我。
12,ZRM,~你好
13,ZRM,~你好
14,沁心🌸☘,你好
15,付昊博,失败
16,ZRM,a
17,ZRM,～
18,付昊博, 那您吃啥
19,ZRM,~
20,沁心🌸☘,休息吧
21,ZRM,a
22,ZRM,~你好
23,ZRM,～你好好
24,ZRM,a
25,ZRM,~a
26,ZRM,a
27,沁心🌸☘,你可以休息了
28,沁心🌸☘,机器人
29,ZRM,a
30,ZRM,～你好
31,ZRM,～你好
32,ZRM,~你好
33,ZRM,你好
34,ZRM,你好
35,沁心🌸☘,jieba
36,沁心🌸☘,这个包不错
37,ZRM,nihao
38,ZRM,有了
39,沁心🌸☘,你也用了
40,ZRM,nihao
41,ZRM,你好
42,ZRM,你好
43,ZRM,你好
44,ZRM,nhao
45,ZRM,nihao
46,ZRM,你好
47,ZRM,～你好
48,我是个无情的机器人,你好
49,ZRM,～你会干嘛
50,我是个无情的机器人,我能帮你处理事情
51,ZRM,～你能做什么
52,我是个无情的机器人,我叫张润民
53,ZRM,～你叫什么名字
54,我是个无情的机器人,我叫张润民
55,ZRM,～你好
56,我是个无情的机器人,你好
57,ZRM,～你会干嘛
58,我是个无情的机器人,我能帮你处理事情
59,ZRM,～你会吃屎么
60,我是个无情的机器人,我能帮你处理事情
61,ZRM,～导出聊天记录
62,我是个无情的机器人,我叫张润民
63,Lovely Socre,[旺柴][旺柴]
64,ZRM,你好
65,ZRM,你好
66,ZRM,～你好
67,我是个无情的机器人,你好
68,ZRM,～你你那舒服的
69,我是个无情的机器人,别问啦，我还需要学习呢
70,ZRM,～你能做啥
71,我是个无情的机器人,别问啦，我还需要学习呢
72,ZRM,～你会干嘛
73,我是个无情的机器人,我能帮你处理事情
74,沁心🌸☘,你也太骚
75,沁心🌸☘,受不了
76,沁心🌸☘,下去吧
77,ZRM,前面加～
78,ZRM,是和机器人对话
79,ZRM,～你也太骚了
80,我是个无情的机器人,放屁，你说给文明点
81,ZRM,～你也太骚了
82,我是个无情的机器人,放屁，你说话文明点
83,ZRM,你也太骚
84,ZRM,～你也太骚
85,我是个无情的机器人,放屁，你说话文明点
86,ZRM,～休息吧
87,我是个无情的机器人,我可不用睡觉
88,ZRM,～关机吧
89,我是个无情的机器人,别问啦，我还需要学习呢
90,Lovely Socre,我叫张润民
91,Lovely Socre,～你会吃屎么
92,我是个无情的机器人,别问啦，我还需要学习呢
93,Lovely Socre,你好  
94,Lovely Socre,~你好
95,我是个无情的机器人,你好
96,ZRM,～你会吃屎么
97,我是个无情的机器人,放你娘的屁，你文明点
98,ZRM,～吃屎
99,我是个无情的机器人,别问啦，我还需要学习呢
100,ZRM,～你去吃屎吧
101,我是个无情的机器人,放你娘的屁，你文明点
102,Lovely Socre,顶
103,ZRM,你好
104,ZRM,测试下是不是乱码
105,Punchoo,～到处聊天记录
106,我是个无情的机器人,别问啦，我还需要学习呢
107,ZRM,你们是乱码么
108,Punchoo,不是
109,Punchoo,但沁心是谁
110,萌萌,我的是乱码
111,ZRM,我女朋友
112,Punchoo,[捂脸][捂脸]
113,Punchoo,骚瑞
114,ZRM,我要改成啥编码哦
115,ZRM,我擦
116,ZRM,utf-8 都不行
117,萌萌,手机上不是乱码
118,萌萌,电脑上是乱码
119,Punchoo,手机上不是
120,Punchoo,gbk试试？
121,Punchoo,要不utf8mb4
122,ZRM,gbk好了
123,Punchoo,ok
124,萌萌,"「Punchoo：要不utf8mb4」
- - - - - - - - - - - - - - -
这让我想起来之前背的题了"
125,ZRM,你们试试看
126,Punchoo,我试试手机上
127,ZRM,拉了
128,Punchoo,[捂脸]
129,萌萌,今天上午只讲医疗报销吗？
130,Lovely Socre,是的
